episode,timestep,reward
29,2000,-1.4103
55,4000,-1.0154
82,6000,-0.9407
112,8000,-1.4067
137,10000,-1.528
163,12000,-1.3154
191,14000,-1.175
221,16000,-1.17
251,18000,-1.2767
278,20000,-0.9
310,22000,-1.2656
340,24000,-1.3733
371,26000,-1.0742
402,28000,-1.4032
435,30000,-1.2697
471,32000,-1.0083
494,34000,-0.8652
527,36000,-1.2212
568,38000,-1.0805
596,40000,-1.1607
634,42000,-0.9658
666,44000,-0.9094
700,46000,-1.1265
725,48000,-1.616
749,50000,-1.0958
778,52000,-1.1931
813,54000,-0.9571
844,56000,-1.0226
872,58000,-1.475
902,60000,-0.8467
931,62000,-1.2
961,64000,-1.16
986,66000,-0.88
1014,68000,-0.875
1048,70000,-0.7265
1081,72000,-1.0848
1109,74000,-1.0786
1136,76000,-1.1333
1166,78000,-1.24
1199,80000,-0.9121
1233,82000,-1.0235
1261,84000,-1.2036
1287,86000,-0.9923
1318,88000,-0.9129
1348,90000,-0.9167
1384,92000,-0.8806
1413,94000,-1.1931
1438,96000,-1.088
1471,98000,-0.7667
1504,100000,-0.6303
1531,102000,-1.437
1559,104000,-1.0929
1588,106000,-0.8138
1619,108000,-0.8677
1650,110000,-1.0484
1678,112000,-1.0286
1710,114000,-1.0188
1741,116000,-0.671
1774,118000,-0.9485
1802,120000,-0.9464
1828,122000,-0.7654
1860,124000,-0.9156
1884,126000,-0.9042
1917,128000,-0.9
1943,130000,-0.4462
1979,132000,-0.8694
2009,134000,-0.83
2041,136000,-0.8625
2069,138000,-1.2071
2096,140000,-0.8333
2128,142000,-0.8125
2165,144000,-1.1216
2198,146000,-0.5939
2230,148000,-0.9406
2262,150000,-1.1406
2297,152000,-0.8857
2334,154000,-0.8568
2362,156000,-0.8571
2405,158000,-1.0977
2438,160000,-0.9515
2470,162000,-0.6906
2500,164000,-1.13
2524,166000,-0.4292
2555,168000,-1.0129
2588,170000,-0.997
2622,172000,-0.8206
2656,174000,-0.8059
2690,176000,-0.8235
2720,178000,-0.8067
2750,180000,-0.8667
2784,182000,-0.6324
2817,184000,-0.6758
2851,186000,-1.0029
2887,188000,-0.9722
2922,190000,-0.5829
2956,192000,-0.5647
2990,194000,-0.6618
3024,196000,-0.7559
3059,198000,-0.9429
3087,200000,-0.6286
3119,202000,-0.6375
3154,204000,-0.5829
3181,206000,-0.9519
3217,208000,-0.7111
3252,210000,-0.9829
3285,212000,-0.6576
3319,214000,-0.7059
3355,216000,-0.6861
